regional_id,name
39,KOTARIH
39,SILINDA
39,BINTANG BAYU
39,DOLOK MASIHUL
39,SERBAJADI
39,SIPISPIS
39,DOLOK MERAWAN
39,TEBINGTINGGI
39,TEBING SYAHBANDAR
39,BANDAR KHALIPAH
39,TANJUNG BERINGIN
39,SEI RAMPAH
39,SEI BAMBAN
39,TELUK MENGKUDU
39,PERBAUNGAN
39,PEGAJAHAN
39,PANTAI CERMIN
40,MEDAN TUNTUNGAN
40,MEDAN JOHOR
40,MEDAN AMPLAS
40,MEDAN DENAI
40,MEDAN AREA
40,MEDAN KOTA
40,MEDAN MAIMUN
40,MEDAN POLONIA
40,MEDAN BARU
40,MEDAN SELAYANG
40,MEDAN SUNGGAL
40,MEDAN HELVETIA
40,MEDAN PETISAH
40,MEDAN BARAT
40,MEDAN TIMUR
40,MEDAN PERJUANGAN
40,MEDAN TEMBUNG
40,MEDAN DELI
40,MEDAN LABUHAN
40,MEDAN MARELAN
40,MEDAN BELAWAN
41,SIANTAR MARIHAT
41,SIANTAR MARIMBUN
41,SIANTAR SELATAN
41,SIANTAR BARAT
41,SIANTAR UTARA
41,SIANTAR TIMUR
41,SIANTAR MARTOBA
41,SIANTAR SITALASARI
42,SIBOLGA UTARA
42,SIBOLGA KOTA
42,SIBOLGA SELATAN
42,SIBOLGA SAMBAS
43,DATUK BANDAR
43,DATUK BANDAR TIMUR
43,TANJUNG BALAI SELATAN
43,TANJUNG BALAI UTARA
43,SEI TUALANG RASO
43,TELUK NIBUNG
44,BINJAI SELATAN
44,BINJAI KOTA
44,BINJAI TIMUR
44,BINJAI UTARA
44,BINJAI BARAT
45,PADANG HULU
45,TEBING TINGGI KOTA
45,RAMBUTAN
45,BAJENIS
45,PADANG HILIR
46,PADANGSIDIMPUAN TENGGARA
46,PADANGSIDIMPUAN SELATAN
46,PADANGSIDIMPUAN BATUNADUA
46,PADANGSIDIMPUAN UTARA
46,PADANGSIDIMPUAN HUTAIMBARU
46,PADANGSIDIMPUAN ANGKOLA JULU
47,PANTAI CERMIN
47,LEMBAH GUMANTI
47,HILIRAN GUMANTI
47,PAYUNG SEKAKI
47,TIGO LURAH BAJANJANG
47,LEMBANG JAYA
47,DANAU KEMBAR
47,GUNUNG TALANG
47,BUKIT SUNDI
47,IX KOTO SUNGAI LASI
47,KUBUNG
47,X KOTO DIATAS
47,X KOTO SINGKARAK
47,JUNJUNG SIRIH
48,KAMANG BARU
48,TANJUNG GADANG
48,SIJUNJUNG
48,LUBUK TAROK
48,IV NAGARI
48,KUPITAN
48,KOTO TUJUH
48,SUMPUR KUDUS
49,SUNGAI RUMBAI
49,KOTO BESAR
49,ASAM JUJUHAN
49,KOTO BARU
49,KOTO SALAK
